# 1 - time t (ms)   2 - amplitude A (arb. unit)
0   0.9148
0.05   4.96486
0.1   8.9752
0.15   9.2556
0.2   9.6684
0.25   6.02264
0.3   1.9877
0.35   -4.13433
0.4   -7.49688
0.45   -9.03804
0.5   -9.92416
0.55   -6.53671
0.6   -3.45227
0.65   2.15167
0.7   6.5506
0.75   8.32569
0.8   8.93075
0.85   6.45676
0.9   3.55312
0.95   -1.12692
1   -3.78604
1.05   -6.22185
1.1   -7.14821
1.15   -5.2956
1.2   -2.99024
1.25   -0.817256
1.3   2.1141
1.35   5.67371
1.4   5.36552
1.45   6.42977
1.5   4.27273
1.55   0.40281
1.6   -1.45399
1.65   -4.38797
1.7   -3.95214
1.75   -5.27718
1.8   -3.10103
1.85   -1.9515
1.9   0.627334
1.95   2.55911
2   3.73294
2.05   2.7736
2.1   2.54703
2.15   1.67271
2.2   0.692206
2.25   -2.02024
2.3   -3.05971
2.35   -3.13339
2.4   -1.92597
2.45   -0.562973
2.5   0.712576
2.55   -0.0307139
2.6   1.73407
2.65   0.710722
2.7   0.822306
2.75   1.44549
2.8   -0.0412064
2.85   0.088713
2.9   -1.20283
2.95   -0.57482
3   -1.33728
3.05   -0.107763
3.1   -1.15152
3.15   -0.534621
3.2   0.760979
3.25   1.20645
3.3   0.165445
3.35   0.336869
3.4   0.112144
3.45   0.100128
3.5   -0.193264
3.55   -0.0728651
3.6   0.174581
3.65   0.020718
3.7   -1.07139
3.75   -0.395304
3.8   0.702773
3.85   -0.716787
3.9   -0.71533
3.95   -0.487439
4   0.630572
4.05   0.280443
4.1   0.185573
4.15   0.627451
4.2   -0.968305
4.25   0.82286
4.3   -0.323348
4.35   0.523287
4.4   -0.1305
4.45   -0.630367
4.5   -0.34734
4.55   0.207147
4.6   0.321666
4.65   0.729038
4.7   0.182438
4.75   -0.119942
4.8   -0.307209
4.85   -0.320103
4.9   0.629118
4.95   -0.169147
